user_id,treatment,revenue,age,gender,region,previous_purchases,email_opens
1001,1,15000,35,M,Tokyo,5,12
1002,0,8000,28,F,Osaka,2,5
1003,1,22000,42,M,Tokyo,8,15
1004,0,5000,31,F,Nagoya,1,3
1005,1,18000,39,M,Fukuoka,6,10
1006,0,7500,26,F,Tokyo,2,4
1007,1,25000,45,M,Osaka,10,18
1008,0,6000,29,M,Sapporo,1,2
1009,1,20000,38,F,Tokyo,7,14
1010,0,9000,33,M,Kyoto,3,6
1011,1,17000,36,F,Tokyo,5,11
1012,0,7000,27,M,Osaka,2,4
1013,1,23000,41,F,Fukuoka,9,16
1014,0,5500,30,M,Nagoya,1,3
1015,1,19000,37,F,Tokyo,6,13
1016,0,8500,32,M,Osaka,3,7
1017,1,21000,40,F,Tokyo,8,15
1018,0,6500,28,M,Sapporo,2,4
1019,1,24000,44,F,Fukuoka,9,17
1020,0,7200,29,M,Kyoto,2,5
1021,1,16000,34,F,Tokyo,5,10
1022,0,8200,31,M,Osaka,3,6
1023,1,22500,43,F,Nagoya,8,16
1024,0,6800,27,M,Tokyo,2,4
1025,1,18500,38,F,Fukuoka,7,12
1026,0,7800,30,M,Sapporo,2,5
1027,1,20500,39,F,Tokyo,7,14
1028,0,9200,33,M,Osaka,3,7
1029,1,17500,36,F,Kyoto,6,11
1030,0,7400,28,M,Nagoya,2,4
1031,1,23500,42,F,Tokyo,9,17
1032,0,6200,29,M,Fukuoka,1,3
1033,1,19500,37,F,Osaka,7,13
1034,0,8800,32,M,Tokyo,3,6
1035,1,21500,41,F,Sapporo,8,15
1036,0,7100,27,M,Kyoto,2,4
1037,1,16500,35,F,Nagoya,5,10
1038,0,8400,31,M,Tokyo,3,6
1039,1,24500,45,F,Fukuoka,10,18
1040,0,6700,28,M,Osaka,2,4
1041,1,18200,36,F,Tokyo,6,12
1042,0,7900,30,M,Sapporo,3,5
1043,1,20200,38,F,Kyoto,7,14
1044,0,9100,33,M,Nagoya,3,7
1045,1,17200,35,F,Tokyo,5,11
1046,0,7600,29,M,Fukuoka,2,5
1047,1,22200,40,F,Osaka,8,16
1048,0,6400,27,M,Tokyo,2,3
1049,1,19200,37,F,Sapporo,7,13
1050,0,8600,32,M,Kyoto,3,6
1051,1,21200,39,F,Nagoya,8,15
1052,0,7300,28,M,Tokyo,2,4
1053,1,16200,34,F,Fukuoka,5,10
1054,0,8300,31,M,Osaka,3,6
1055,1,23200,43,F,Tokyo,9,17
1056,0,6900,29,M,Sapporo,2,4
1057,1,18800,38,F,Kyoto,7,12
1058,0,7700,30,M,Nagoya,2,5
1059,1,20800,40,F,Tokyo,8,14
1060,0,9300,34,M,Fukuoka,3,7
1061,1,17800,36,F,Osaka,6,11
1062,0,7500,28,M,Tokyo,2,4
1063,1,22800,42,F,Sapporo,9,16
1064,0,6600,27,M,Kyoto,2,3
1065,1,19800,39,F,Nagoya,7,13
1066,0,8900,33,M,Tokyo,3,6
1067,1,21800,41,F,Fukuoka,8,15
1068,0,7200,29,M,Osaka,2,5
1069,1,16800,35,F,Tokyo,6,10
1070,0,8500,32,M,Sapporo,3,6
1071,1,24200,44,F,Kyoto,9,17
1072,0,6800,28,M,Nagoya,2,4
1073,1,18500,37,F,Tokyo,7,12
1074,0,7900,31,M,Fukuoka,3,5
1075,1,20500,39,F,Osaka,7,14
1076,0,9100,34,M,Tokyo,3,7
1077,1,17500,36,F,Sapporo,6,11
1078,0,7600,29,M,Kyoto,2,5
1079,1,22500,41,F,Nagoya,8,16
1080,0,6500,27,M,Tokyo,2,3
1081,1,19200,38,F,Fukuoka,7,13
1082,0,8600,32,M,Osaka,3,6
1083,1,21200,40,F,Tokyo,8,15
1084,0,7400,28,M,Sapporo,2,4
1085,1,16200,34,F,Kyoto,5,10
1086,0,8200,31,M,Nagoya,3,6
1087,1,23800,43,F,Tokyo,9,17
1088,0,6900,29,M,Fukuoka,2,4
1089,1,18800,37,F,Osaka,7,12
1090,0,7800,30,M,Tokyo,3,5
1091,1,20800,39,F,Sapporo,8,14
1092,0,9200,33,M,Kyoto,3,7
1093,1,17800,35,F,Nagoya,6,11
1094,0,7500,28,M,Tokyo,2,4
1095,1,22800,42,F,Fukuoka,9,16
1096,0,6700,27,M,Osaka,2,3
1097,1,19800,38,F,Tokyo,7,13
1098,0,8800,32,M,Sapporo,3,6
1099,1,21800,40,F,Kyoto,8,15
1100,0,7100,29,M,Nagoya,2,5
